"No.","Time","Source","Destination","Protocol","Length","Info"
"149","0.080702","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=19240, ID=2012) [Reassembled in #180]"
"150","0.080702","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=20720, ID=2012) [Reassembled in #180]"
"151","0.080702","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=22200, ID=2012) [Reassembled in #180]"
"152","0.080703","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=23680, ID=2012) [Reassembled in #180]"
"153","0.080703","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=25160, ID=2012) [Reassembled in #180]"
"154","0.080704","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=26640, ID=2012) [Reassembled in #180]"
"155","0.080704","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=28120, ID=2012) [Reassembled in #180]"
"156","0.080704","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=29600, ID=2012) [Reassembled in #180]"
"157","0.080705","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=31080, ID=2012) [Reassembled in #180]"
"158","0.080705","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=32560, ID=2012) [Reassembled in #180]"
"159","0.080705","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=34040, ID=2012) [Reassembled in #180]"
"160","0.080706","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=35520, ID=2012) [Reassembled in #180]"
"161","0.080706","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=37000, ID=2012) [Reassembled in #180]"
"162","0.080707","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=38480, ID=2012) [Reassembled in #180]"
"163","0.080707","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=39960, ID=2012) [Reassembled in #180]"
"164","0.080707","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=41440, ID=2012) [Reassembled in #180]"
"165","0.080708","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=42920, ID=2012) [Reassembled in #180]"
"166","0.080708","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=44400, ID=2012) [Reassembled in #180]"
"167","0.080709","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=45880, ID=2012) [Reassembled in #180]"
"168","0.080709","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=47360, ID=2012) [Reassembled in #180]"
"169","0.080709","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=48840, ID=2012) [Reassembled in #180]"
"170","0.080710","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=50320, ID=2012) [Reassembled in #180]"
"171","0.080710","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=51800, ID=2012) [Reassembled in #180]"
"172","0.080711","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=53280, ID=2012) [Reassembled in #180]"
"173","0.080711","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=54760, ID=2012) [Reassembled in #180]"
"174","0.080711","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=56240, ID=2012) [Reassembled in #180]"
"175","0.080711","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=57720, ID=2012) [Reassembled in #180]"
"176","0.080712","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=59200, ID=2012) [Reassembled in #180]"
"177","0.080712","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=60680, ID=2012) [Reassembled in #180]"
"178","0.080712","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=62160, ID=2012) [Reassembled in #180]"
"179","0.080713","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=63640, ID=2012) [Reassembled in #180]"
"180","0.080713","192.168.100.14","192.168.100.25","ICMP","422","Echo (ping) reply    id=0x0001, seq=1393/28933, ttl=128 (request in 135)"
"181","0.432189","192.168.100.5","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=0, ID=246a) [Reassembled in #225]"
"182","0.445028","192.168.100.5","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=1480, ID=246a) [Reassembled in #225]"
